ID,Team,Date,Week,Day,Soreness,Mood,Hydration,School,Comment
IG,u14s,2021-07-27,30,Tuesday,Very good,Very good,Good,NA,Rested after day at Flamingo Land yesterday
EM,u15s,2021-07-27,30,Tuesday,Moderate,Good,Good,NA,Good
ES,u15s,2021-07-27,30,Tuesday,Good,Good,Moderate,NA,Feel ok today
GN,u16s,2021-07-27,30,Tuesday,Good,Good,Good,NA,"Good, don’t know if I have already pout this in"
PB,u15s,2021-07-27,30,Tuesday,Very good,Very good,Moderate,NA,NA
AT,u14s,2021-07-27,30,Tuesday,Very good,Very good,Very good,NA,Looking forward to training
CS,u15s,2021-07-27,30,Tuesday,Moderate,Good,Very good,NA,NA
AP,u16s,2021-07-27,30,Tuesday,Good,Good,Moderate,NA,good but a bit achy
TM,u16s,2021-07-27,30,Tuesday,Very good,Moderate,Good,NA,Good but very tired not had much sleep
RO,u15s,2021-07-27,30,Tuesday,Good,Very good,Very good,NA,Relaxed
FS,u16s,2021-07-27,30,Tuesday,Moderate,Good,Good,NA,NA
AI,u15s,2021-07-27,30,Tuesday,Good,Very good,Good,NA,NA
EMy,u14s,2021-07-27,30,Tuesday,Moderate,Very good,Good,NA,Good shoulders a bit sore
CW,u16s,2021-07-27,30,Tuesday,Moderate,Very good,"Very, very good",NA,Good
RC,u16s,2021-07-27,30,Tuesday,Poor,"Very, very good","Very, very good",NA,Bit sore on my left foot and my ears
MG,u15s,2021-07-27,30,Tuesday,Moderate,Good,Good,NA,NA
AMc,u15s,2021-07-27,30,Tuesday,Good,Good,Good,NA,I feel good
NW,u14s,2021-07-27,30,Tuesday,Very good,"Very, very good","Very, very good","Very, very good",Good
TP,u14s,2021-07-27,30,Tuesday,Good,Very good,Good,NA,Fine
TM,u16s,2021-07-27,30,Tuesday,Very good,Moderate,Good,NA,Good but very tired not had much sleep
DM,u15s,2021-07-27,30,Tuesday,Good,Good,Good,NA,good
FW,u16s,2021-07-27,30,Tuesday,Very good,Moderate,Good,NA,good
EB,u16s,2021-07-27,30,Tuesday,Very good,"Very, very good","Very, very good","Very, very good",good
EO,u16s,2021-07-27,30,Tuesday,Moderate,Very good,Good,NA,fine
EP,u15s,2021-07-27,30,Tuesday,Good,Good,Moderate,NA,NA
RM,u16s,2021-07-27,30,Tuesday,Good,"Very, very good",Moderate,"Very, very good",good
MM,u16s,2021-06-27,25,Sunday,Good,Good,Good,NA,fine
RF,u16s,2021-07-27,30,Tuesday,Good,Very good,Good,NA,Good legs abit sore from s and c
MedB,u14s,2021-07-27,30,Tuesday,Good,Moderate,Moderate,Moderate,Good
DM,u15s,2021-07-27,30,Tuesday,Good,Good,Good,NA,good
MerB,u14s,2021-07-27,30,Tuesday,Good,Moderate,Good,NA,Fine
KW,u14s,2021-07-27,30,Tuesday,Poor,Good,Moderate,NA,good
RM,u16s,2021-07-27,30,Tuesday,Good,"Very, very good",Moderate,"Very, very good",good
EM,u15s,2021-07-27,30,Tuesday,Moderate,Good,Good,NA,Good
CW,u16s,2021-07-27,30,Tuesday,Moderate,Very good,"Very, very good",NA,Good
AMc,u15s,2021-07-28,30,Wednesday,Poor,Moderate,Good,NA,I feel ok just got back pain
AT,u14s,2021-07-28,30,Wednesday,"Very, very good","Very, very good",Good,NA,Good
FM,u15s,2021-07-28,30,Wednesday,Good,Good,Good,NA,Happy
GN,u16s,2021-07-28,30,Wednesday,Moderate,Good,Good,NA,Legs are a bit sore from yesterday and arms a bit sore from gym this morning
ES,u15s,2021-07-28,30,Wednesday,Moderate,Good,Good,NA,Bit sore
IG,u14s,2021-07-28,30,Wednesday,Very good,Good,Very good,NA,Good
KW,u14s,2021-07-28,30,Wednesday,Very poor,"Very, very good",Moderate,Moderate,happy
MM,u16s,2021-06-27,25,Sunday,Good,Good,Good,NA,fine
AC,u15s,2021-07-27,30,Tuesday,"Very, very good","Very, very good","Very, very good",NA,NA
EP,u15s,2021-07-28,30,Wednesday,Good,Very good,Moderate,NA,NA
PB,u15s,2021-07-28,30,Wednesday,Very good,Good,Good,NA,NA
RC,u16s,2021-07-28,30,Wednesday,Poor,"Very, very good","Very, very good",NA,Good
MerB,u14s,2021-07-28,30,Wednesday,Very good,Good,Moderate,NA,Moderate
MedB,u14s,2021-07-28,30,Wednesday,Good,Moderate,Good,Moderate,"Good, a bit tired"
FS,u16s,2021-07-28,30,Wednesday,Moderate,Very good,Good,NA,NA
AMc,u15s,2021-07-29,30,Thursday,Poor,Good,Good,NA,I feel ok just got quite a bit of soreness
KW,u14s,2021-07-29,30,Thursday,Very poor,Good,Moderate,NA,happy
NW,u14s,2021-07-29,30,Thursday,Very good,"Very, very good",Very good,"Very, very good",Good
RC,u16s,2021-07-29,30,Thursday,Poor,"Very, very good","Very, very good",NA,Good
GN,u16s,2021-07-29,30,Thursday,Moderate,Good,Good,NA,Legs a bit sore
EF,u14s,2021-07-29,30,Thursday,"Very, very good","Very, very good",Very good,NA,I am ready for training and looking forward to it.
GN,u16s,2021-07-29,30,Thursday,Moderate,Good,Good,NA,Legs a bit sore
EO,u16s,2021-07-29,30,Thursday,Good,Good,Good,NA,fine
CS,u15s,2021-07-29,30,Thursday,Moderate,Good,Good,NA,Good
MG,u15s,2021-07-29,30,Thursday,Moderate,Good,Good,NA,NA
ES,u15s,2021-07-29,30,Thursday,Moderate,Very good,Good,NA,I feel happy and a bit sore
EM,u15s,2021-07-29,30,Thursday,Moderate,Good,Good,NA,Well rested
FM,u15s,2021-07-29,30,Thursday,Very good,Very good,Very good,NA,Well
RO,u15s,2021-07-29,30,Thursday,Good,Very good,Very good,NA,Good
EMy,u14s,2021-07-29,30,Thursday,Good,Good,Moderate,NA,good
MM,u16s,2021-07-29,30,Thursday,Poor,Good,Good,NA,sore
FS,u16s,2021-07-29,30,Thursday,Moderate,Very good,Good,NA,NA
FM,u15s,2021-07-29,30,Thursday,Very good,Very good,Very good,NA,Well
MM,u16s,2021-07-29,30,Thursday,Poor,Good,Good,NA,sore
AC,u15s,2021-07-29,30,Thursday,"Very, very good","Very, very good","Very, very good",NA,NA
AI,u15s,2021-07-29,30,Thursday,Good,Good,Good,NA,NA
PB,u15s,2021-07-29,30,Thursday,Very good,Good,Good,NA,NA
EP,u15s,2021-07-29,30,Thursday,Very good,Good,Good,NA,NA
RF,u16s,2021-07-29,30,Thursday,Good,Good,Good,NA,NA
AT,u14s,2021-07-29,30,Thursday,Good,"Very, very good",Very good,"Very, very poor",Happy
RC,u16s,2021-07-20,29,Tuesday,Very good,Very good,Very good,NA,Good
RC,u16s,2021-07-29,30,Thursday,Moderate,"Very, very good","Very, very good",NA,Good
MG,u15s,2021-07-29,30,Thursday,Moderate,Good,Good,NA,NA
EMy,u14s,2021-07-29,30,Thursday,Good,Good,Moderate,NA,good
AMc,u15s,2021-07-30,30,Friday,Very poor,Good,Good,NA,I feel good just very sore
RO,u15s,2021-07-29,30,Thursday,Good,Very good,Very good,NA,Good
RC,u16s,2021-07-29,30,Thursday,Moderate,"Very, very good","Very, very good",NA,Good
AMc,u15s,2021-08-01,30,Sunday,Good,Very good,Good,NA,I feel very good
AMc,u15s,2021-08-03,31,Tuesday,Moderate,Good,Moderate,NA,I feel ok
AMc,u15s,2021-08-03,31,Tuesday,Moderate,Good,Moderate,NA,I feel ok
GN,u16s,2021-08-03,31,Tuesday,Good,Good,Good,NA,Good
KW,u14s,2021-08-03,31,Tuesday,Moderate,Moderate,Moderate,NA,okay
CS,u15s,2021-08-03,31,Tuesday,Very good,Very good,Good,NA,Good
EF,u14s,2021-08-03,31,Tuesday,Very good,Very good,Very good,NA,I feel good and ready for the fitness session
GNo,u14s,2021-08-03,31,Tuesday,Very good,Very good,Good,NA,I feel good and a bit nervous for tests but overall really good.
AC,u15s,2021-08-03,31,Tuesday,Good,"Very, very good","Very, very good",NA,NA
RO,u15s,2021-08-03,31,Tuesday,Poor,Very good,Good,NA,I think I have pulled a muscle in my thigh. And I have very slight weak pain in my back.
AI,u15s,2021-08-03,31,Tuesday,Good,Good,Good,NA,NA
EO,u16s,2021-08-03,31,Tuesday,Very good,Very good,Very good,NA,fine
EM,u15s,2021-08-03,31,Tuesday,Good,Good,Moderate,NA,Fine
NW,u14s,2021-08-03,31,Tuesday,Very good,"Very, very good",Very good,NA,Good
EH,u16s,2021-08-03,31,Tuesday,Good,Good,Moderate,NA,Good
ES,u15s,2021-08-03,31,Tuesday,Very good,Moderate,Good,NA,I feel good and not very sore
EP,u15s,2021-08-03,31,Tuesday,Good,Good,Moderate,NA,NA
CW,u16s,2021-08-02,31,Monday,Good,Moderate,Very good,NA,Tired
RC,u16s,2021-07-29,30,Thursday,Moderate,"Very, very good","Very, very good",NA,Good
GP,u16s,2021-08-03,31,Tuesday,Good,Very good,Very good,NA,my legs are aching a bit because i went on a run yesterday
RC,u16s,2021-08-03,31,Tuesday,Very good,Very good,Very good,NA,Good
IG,u14s,2021-08-03,31,Tuesday,Very good,Very good,Very good,NA,Alright
AG,u14s,2021-08-03,31,Tuesday,Very good,Very good,Very good,NA,NA
FM,u15s,2021-08-03,31,Tuesday,Moderate,Very good,Very good,NA,Good
TP,u14s,2021-08-03,31,Tuesday,Good,Very good,Moderate,NA,okay
AT,u14s,2021-08-03,31,Tuesday,"Very, very good","Very, very good",Very good,NA,Good
RF,u16s,2021-08-03,31,Tuesday,Good,Moderate,Good,NA,NA
LT,u15s,2021-08-03,31,Tuesday,Very good,Very good,Moderate,NA,I feel happy
FS,u16s,2021-08-03,31,Tuesday,Very good,Good,Good,NA,NA
AP,u16s,2021-08-03,31,Tuesday,Moderate,Good,Moderate,NA,good
PB,u15s,2021-08-03,31,Tuesday,Very good,Very good,Good,NA,NA
EB,u16s,2021-08-03,31,Tuesday,Very good,"Very, very good","Very, very good","Very, very good",good
Ndu,u16s,2021-08-03,31,Tuesday,Moderate,Very good,Good,NA,Good
PB,u15s,2021-08-03,31,Tuesday,Very good,Very good,Good,NA,NA
NG,u14s,2021-08-03,31,Tuesday,"Very, very good",Very good,Very good,NA,good
RC,u16s,2021-08-03,31,Tuesday,Very good,Very good,Very good,NA,Good
GN,u16s,2021-08-03,31,Tuesday,Good,Good,Good,NA,Good
GP,u16s,2021-08-03,31,Tuesday,Good,Very good,Very good,NA,my legs are aching a bit because i went on a run yesterday
AMc,u15s,2021-08-05,31,Thursday,Moderate,Very good,Very good,NA,I feel very good
GN,u16s,2021-08-05,31,Thursday,Good,Good,Good,NA,Good
KW,u14s,2021-08-05,31,Thursday,Very good,Very good,Moderate,NA,happy
GN,u16s,2021-08-03,31,Tuesday,Good,Good,Good,NA,Good
EB,u16s,2021-08-05,31,Thursday,"Very, very good","Very, very good","Very, very good","Very, very good",good
MG,u15s,2021-08-05,31,Thursday,Good,Good,Good,NA,NA
EO,u16s,2021-08-05,31,Thursday,Very good,Very good,Very good,NA,fine
GNo,u14s,2021-08-05,31,Thursday,Very good,"Very, very good",Very good,NA,I feel ready and well
GN,u16s,2021-08-05,31,Thursday,Good,Good,Good,NA,"Good, once again I dunno if I have already done this"
CS,u15s,2021-08-05,31,Thursday,Very good,Very good,Good,NA,Good
MG,u15s,2021-08-05,31,Thursday,Good,Good,Good,NA,NA
RC,u16s,2021-08-03,31,Tuesday,Very good,Very good,Very good,NA,Good
RC,u16s,2021-08-05,31,Thursday,Poor,Very good,Very good,NA,Good
Ndu,u16s,2021-08-05,31,Thursday,Moderate,Very good,Moderate,NA,Good
RF,u16s,2021-08-05,31,Thursday,Good,Good,Good,NA,NA
EM,u15s,2021-08-05,31,Thursday,Good,Very good,Moderate,NA,NA
EF,u14s,2021-08-05,31,Thursday,Very good,Very good,Very good,NA,I feel good
AG,u14s,2021-08-05,31,Thursday,Very good,Very good,Very good,NA,NA
AI,u15s,2021-08-05,31,Thursday,Good,Good,Moderate,NA,NA
NW,u14s,2021-08-05,31,Thursday,Very good,"Very, very good",Very good,NA,Very good
AT,u14s,2021-08-05,31,Thursday,"Very, very good","Very, very good",Very good,NA,Happy
AP,u16s,2021-08-05,31,Thursday,Moderate,Good,Moderate,NA,good but tired
AC,u15s,2021-08-05,31,Thursday,Moderate,"Very, very good","Very, very good",NA,Done something to my ankle
FS,u16s,2021-08-05,31,Thursday,Good,Good,Good,NA,NA
ES,u15s,2021-08-05,31,Thursday,Very good,Good,Good,NA,I feel good
IG,u14s,2021-08-05,31,Thursday,Very good,Good,Good,NA,Good
PB,u15s,2021-08-05,31,Thursday,Very good,Very good,Good,NA,NA
RO,u15s,2021-08-05,31,Thursday,Moderate,Very good,Good,NA,Back has hurt a bit but very slightly l
Ndu,u16s,2021-08-05,31,Thursday,Moderate,Very good,Moderate,NA,Good
EM,u15s,2021-08-05,31,Thursday,Good,Very good,Moderate,NA,NA
NW,u14s,2021-08-05,31,Thursday,Very good,"Very, very good",Very good,NA,Very good
AC,u15s,2021-08-05,31,Thursday,Moderate,"Very, very good","Very, very good",NA,Done something to my ankle
PB,u15s,2021-08-05,31,Thursday,Very good,Very good,Good,NA,NA
GP,u16s,2021-08-03,31,Tuesday,Good,Very good,Very good,NA,my legs are aching a bit because i went on a run yesterday
GN,u16s,2021-08-05,31,Thursday,Good,Good,Good,NA,"Good, once again I dunno if I have already done this"
EM,u15s,2021-08-09,32,Monday,Good,Good,Moderate,NA,"Fine, just have a sore Ankle"
RF,u16s,2021-08-09,32,Monday,Good,Good,Good,NA,Tired but fine
EO,u16s,2021-08-09,32,Monday,Very good,Very good,Very good,NA,fine
EF,u14s,2021-08-09,32,Monday,"Very, very good",Very good,Very good,NA,I feel good
IM,u16s,2021-08-09,32,Monday,"Very, very good",Very good,Good,NA,Good
HM,u15s,2021-08-09,32,Monday,Very good,Very good,Good,NA,Good quite tired
EMy,u14s,2021-08-09,32,Monday,Good,Good,Moderate,NA,good legs were a tad bit sore this morning from a 2 hour workout yesterday. they are alright now in the afternoon
GNo,u14s,2021-08-09,32,Monday,Very good,"Very, very good",Very good,NA,I feel very happy and calm
RC,u16s,2021-08-05,31,Thursday,Poor,Very good,Very good,NA,Good
RC,u16s,2021-08-09,32,Monday,Good,Very good,Very good,NA,Good
EB,u16s,2021-08-09,32,Monday,"Very, very good","Very, very good","Very, very good","Very, very good",good
AMc,u15s,2021-08-09,32,Monday,Moderate,"Very, very good",Good,NA,I feel very good
PB,u15s,2021-07-09,27,Friday,Very good,Very good,Moderate,NA,NA
HM,u15s,2021-08-09,32,Monday,Very good,Very good,Good,NA,Good quite tired
EMy,u14s,2021-08-09,32,Monday,Good,Good,Moderate,NA,good legs were a tad bit sore this morning from a 2 hour workout yesterday. they are alright now in the afternoon
DM,u15s,2021-08-09,32,Monday,Very good,Very good,Very good,NA,good
DM,u15s,2021-08-09,32,Monday,Very good,Very good,Very good,NA,good
GN,u16s,2021-08-10,32,Tuesday,Good,Good,Good,NA,Good
EF,u14s,2021-08-10,32,Tuesday,Good,Very good,Very good,NA,My biceps are a little sore from s+c last night but everything else is fine.
MG,u15s,2021-08-10,32,Tuesday,Good,Good,Good,NA,NA
EO,u16s,2021-08-10,32,Tuesday,Very good,Very good,Very good,NA,i feel fine
EM,u15s,2021-08-10,32,Tuesday,Moderate,Good,Good,NA,Good
KW,u14s,2021-08-10,32,Tuesday,Good,Good,Moderate,NA,good
EB,u16s,2021-08-10,32,Tuesday,Moderate,"Very, very good","Very, very good","Very, very good",legs are just aching from s and c yesterday
CS,u15s,2021-08-10,32,Tuesday,Moderate,Good,Good,NA,Good
MG,u15s,2021-08-10,32,Tuesday,Good,Good,Good,NA,NA
BT,u14s,2021-08-10,32,Tuesday,Very good,Very good,Good,NA,Feel ok even after doing s&c last night
HM,u15s,2021-08-10,32,Tuesday,Poor,Very good,Very good,NA,Sore of the gym last night and tired
GNo,u14s,2021-08-10,32,Tuesday,Good,Very good,Very good,NA,I feel very good
EMy,u14s,2021-08-10,32,Tuesday,Moderate,Good,Good,NA,arms and legs a bit sore abs achey form yesterday
CW,u16s,2021-08-10,32,Tuesday,Moderate,Moderate,"Very, very good",NA,Tired
GN,u16s,2021-08-10,32,Tuesday,Good,Good,Good,NA,Was on a train when I did this earlier so doing another one incase it didn’t go through
RC,u16s,2021-08-10,32,Tuesday,Good,Good,Good,NA,Good
AI,u15s,2021-08-10,32,Tuesday,Good,Good,Moderate,NA,NA
FS,u16s,2021-08-10,32,Tuesday,Very good,Very good,Good,NA,NA
ES,u15s,2021-08-10,32,Tuesday,Very good,Good,Good,NA,I feel good
LT,u15s,2021-08-10,32,Tuesday,Good,Good,Poor,NA,I feel tired
PB,u15s,2021-08-10,32,Tuesday,Good,Good,Good,NA,NA
AP,u16s,2021-08-10,32,Tuesday,Moderate,Good,Good,NA,quite achy from last nights s&c legs r a bit sore
EP,u15s,2021-08-10,32,Tuesday,Moderate,Very good,Good,NA,Legs sore
AMc,u15s,2021-08-10,32,Tuesday,Moderate,Very good,Good,NA,I feel ok
IM,u16s,2021-08-10,32,Tuesday,Poor,Very good,Very good,NA,Legs are sore from s and c
GP,u16s,2021-08-10,32,Tuesday,Very good,Very good,Good,NA,NA
TM,u16s,2021-08-10,32,Tuesday,Very good,Good,Good,NA,Feel good still not feeling 100%
DM,u15s,2021-08-10,32,Tuesday,Good,Good,Good,NA,good
RF,u16s,2021-08-10,32,Tuesday,Good,Good,Good,NA,Good
TP,u14s,2021-08-10,32,Tuesday,Good,Good,Good,NA,Okay
MM,u16s,2021-08-10,32,Tuesday,Good,Poor,Poor,NA,not sure
FW,u16s,2021-08-10,32,Tuesday,Very good,"Very, very good",Good,NA,hope ur having a great day appologise for leaving my gps and forgetting my scores
AMc,u15s,2021-08-10,32,Tuesday,Moderate,Very good,Good,NA,I feel ok
EMy,u14s,2021-08-10,32,Tuesday,Moderate,Good,Good,NA,arms and legs a bit sore abs achey form yesterday
TP,u14s,2021-08-10,32,Tuesday,Good,Good,Good,NA,Okay
AMc,u15s,2021-08-10,32,Tuesday,Moderate,Very good,Good,NA,I feel ok
MM,u16s,2021-08-10,32,Tuesday,Good,Poor,Poor,NA,not sure
HM,u15s,2021-08-10,32,Tuesday,Poor,Very good,Very good,NA,Sore of the gym last night and tired
GN,u16s,2021-08-11,32,Wednesday,Moderate,Good,Good,NA,"Good, legs a bit sore after yesterday’s session"
MG,u15s,2021-08-11,32,Wednesday,Very poor,Good,Good,NA,NA
ES,u15s,2021-08-11,32,Wednesday,Good,Good,Good,NA,I feel good and not sore really
KW,u14s,2021-08-11,32,Wednesday,Good,Very good,Moderate,NA,happy
LT,u15s,2021-08-11,32,Wednesday,Moderate,Good,Good,NA,I feel a bit sore from yesterday.
RC,u16s,2021-08-10,32,Tuesday,Good,Good,Good,NA,Good
AI,u15s,2021-08-11,32,Wednesday,Good,Good,Good,NA,NA
FM,u15s,2021-08-11,32,Wednesday,Moderate,Moderate,Good,NA,Ok
FS,u16s,2021-08-11,32,Wednesday,Good,Good,Good,NA,NA
MerB,u14s,2021-08-11,32,Wednesday,Moderate,Good,Moderate,NA,Alright a bit sore
BT,u14s,2021-08-10,32,Tuesday,Very good,Very good,Good,NA,Feel ok even after doing s&c last night
TM,u16s,2021-08-10,32,Tuesday,Very good,Good,Good,NA,Feel good still not feeling 100%
RC,u16s,2021-08-10,32,Tuesday,Good,Good,Good,NA,Good
GN,u16s,2021-08-12,32,Thursday,Good,Good,Good,NA,"My quads are a bit tight, but I think they will be fine once we warm up"
EF,u14s,2021-08-12,32,Thursday,Very good,Very good,Very good,NA,I feel good
EM,u15s,2021-08-12,32,Thursday,Moderate,Good,Good,NA,Good!
MG,u15s,2021-08-12,32,Thursday,Very poor,Good,Good,NA,NA
MG,u15s,2021-08-12,32,Thursday,Very poor,Good,Good,NA,NA
GP,u16s,2021-08-12,32,Thursday,Good,Very good,Good,NA,NA
CS,u15s,2021-08-12,32,Thursday,Good,Good,Good,NA,Good
AC,u15s,2021-08-12,32,Thursday,Poor,"Very, very good","Very, very good",NA,NA
GNo,u14s,2021-08-12,32,Thursday,Moderate,Very good,Very good,NA,My mouth is quite saw because I just got braces yesterday but apart from that very good.
ES,u15s,2021-08-12,32,Thursday,Good,Very good,Good,NA,I am happy and not really sore
EMy,u14s,2021-08-12,32,Thursday,Very good,Good,Good,NA,good overall
EO,u16s,2021-08-12,32,Thursday,Very good,Very good,Very good,NA,fine
FS,u16s,2021-08-12,32,Thursday,Very good,Very good,Good,NA,NA
NW,u14s,2021-08-12,32,Thursday,Very good,Good,Good,NA,Yesterday poorly but feeling better today
TM,u16s,2021-08-12,32,Thursday,Moderate,Moderate,Poor,NA,Very tired today
IM,u16s,2021-08-12,32,Thursday,Poor,Good,Good,NA,Sore from Tuesday
AMc,u15s,2021-08-12,32,Thursday,Moderate,"Very, very good",Very good,NA,I feel ok
GT,u15s,2021-08-12,32,Thursday,Good,Good,Good,NA,feeling good
AT,u14s,2021-08-12,32,Thursday,"Very, very good","Very, very good",Good,NA,Happy
LT,u15s,2021-08-12,32,Thursday,Poor,Good,Moderate,NA,My legs are aching after S and C yesterday.
FM,u15s,2021-08-12,32,Thursday,Good,Good,Good,NA,Good
RF,u16s,2021-08-12,32,Thursday,Moderate,Good,Good,NA,Good but legs aching from walking up roseberry topping
ND,u16s,2021-08-12,32,Thursday,Moderate,Moderate,Moderate,NA,NA
FM,u15s,2021-08-12,32,Thursday,Good,Good,Good,NA,Good
